,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cod.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
Precios finales con IVA incluído. Suejta a modificaciones y a disponibilidad de stock.,,,,Fecha de actualización:,,,7/1/2024
,"100,100 • Legumbres y Otros",,,,,,
,,,,,,,
7510,Gelatina Sabor Frutilla 1 kg,,1 kg,22%,U$S,4.96,4.96
7511,Gelatina Sabor Naranja 1 lg,,1 kg,22%,U$S,4.96,4.96
7610,Flan Sabor Vainilla 1 kg,,1 kg,22%,U$S,4.33,4.33
7710,Postre Sabor Chocolate 1 kg,,1 kg,22%,U$S,3.70,3.70
7711,Postre Sabor Vainilla 1 kg,,1 kg,22%,U$S,3.48,3.48
,,,,,,,
,"100,105 • Fruta Seca – Desecadas",,,,,,
,,,,,,,
1019,"Arándanos Deshidratados Rojos 11,34 kg",,"11,34 kg",22%,U$S,8.00,90.72
K1019,Arándanos Deshidratados Rojos 1 kg,,Unitario,22%,U$S,9.60,9.60
203,Avellanas Peladas Crudas 10 kg,,10 kg,22%,U$S,17.00,170.00
K203,Avellanas Peladas Crudas 1 kg,,Unitario,22%,U$S,18.90,18.90
204,Avellanas Peladas Tostadas 10 kg,,10 kg,22%,U$S,17.00,170.00
K204,Avellanas Peladas Tostadas 1 kg,,Unitario,22%,U$S,18.90,18.90
,,,,,,,
1015,Bayas de Goji 20 kg,,20 kg,22%,U$S,13.80,276.00
K1015,Bayas de Goji 1 kg,7730905132362,Unitario,22%,U$S,15.20,15.20
,,,,,,,
223,"Castañas de Cajú Enteras Naturales W3 22,68 kg",,"22,68 kg",22%,U$S,12.63,286.45
K223,Castañas de Cajú Enteras Naturales W3 1 kg,,Unitario,22%,U$S,15.29,15.29
224,"Castañas de Cajú Enteras Tostadas c/Sal 22,68 kg",,"22,68 kg",22%,U$S,13.24,300.28
K224,Castañas de Cajú Enteras Tostadas c/Sal 1 kg,,Unitario,22%,U$S,16.40,16.40
225,"Castañas de Cajú Enteras Tostadas 22,68 kg",,"22,68 kg",22%,U$S,13.24,300.28
K225,Castañas de Cajú Enteras Tostadas 1 kg,,Unitario,22%,U$S,16.40,16.40
222,"Castañas de Cajú Tostadas en Trozos 22,68 kg",,"22,68 kg",22%,U$S,9.96,225.89
K222,Castañas de Cajú Tostadas en Trozos 1 kg,,Unitario,22%,U$S,11.95,11.95
K230,Castañas de Cajú Tostadas con Miel 1 kg,773953120941,Unitario,22%,U$S,20.11,20.11
,,,,,,,
2202,Pistachos Pelados Crudos 12 kg,,12 kg,22%,U$S,33.50,402.00
K2202,Pistachos Pelados Crudos 1 kg,,Unitario,22%,U$S,40.00,40.00
2201,Pistachos Tostados con Cáscara 10 kg,,10 kg,22%,U$S,20.00,200.00
K2201,Pistachos Tostados con Cáscara 1 kg,,Unitario,22%,U$S,21.00,21.00
2200,Pistachos Tostados Salados con Cáscara 10 kg,,10 kg,22%,U$S,20.00,200.00
K2200,Pistachos Tostados Salados con Cáscara 1 kg,,Unitario,22%,U$S,21.00,21.00
,,,,,,,
198,Ciruela sin Carozo 60/70 10 kg,,10 kg,22%,U$S,7.30,73.00
K198,Ciruela sin Carozo 60/70 1 kg,,Unitario,22%,U$S,8.80,8.80
199,Ciruela con Carozo 10 kg,,10 kg,22%,U$S,0.00,0.00
K199,Ciruela con Carozo 1 kg,,Unitario,22%,U$S,0.00,0.00
,,,,,,,
0410,Coco Rallado Fino 25 kg,,25 kg,22%,U$S,3.00,75.00
B069,Coco Rallado Fino 5 kg,,5 kg,22%,U$S,3.45,17.25
K069,Coco Rallado Fino 1 kg,,Unitario,22%,U$S,3.60,3.60
0411,"Coco Chips 11,34 kg",,"11,34 kg",22%,U$S,4.00,45.36
B0411,Coco Chips 5 kg,,5 kg,22%,U$S,4.60,23.01
K0411,Coco Chips 1 kg,,Unitario,22%,U$S,4.81,4.81
,,,,,,,
218,Fruta Picada “Sicola”,7896798190596,10 kg,22%,U$S,2.85,28.50
1020,"Frutilla Deshidratada 12,5 kg",,"12,5 kg",22%,U$S,11.60,145.00
019,Almendras Peladas Enteras 10 kg,,10 kg,22%,U$S,10.20,102.00
K019,Almendras Peladas Enteras 1 kg,7730905132287,Unitario,22%,U$S,12.24,12.24
K0180,Almendras Peladas Tostadas 1 kg,7739753120859,Unitario,22%,U$S,14.01,14.01
K0181,Almendras Peladas Tostadas con Sal 1 kg,7739753120866,Unitario,22%,U$S,14.01,14.01
K0182,Almendras Peladas Tostadas con Soja 1 kg,7739753120880,Unitario,22%,U$S,14.01,14.01
K0183,Almendras Peladas Tostadas con Miel 1 kg,7739753120873,Unitario,22%,U$S,16.90,16.90
,,,,,,,
207,Nuez Pelada Cuartos 10 kg,,10 kg,22%,U$S,8.50,85.00
K207,Nuez Pelada Cuartos 1 kg,,Unitario,22%,U$S,10.50,10.50
206,Nuez Pelada Mariposa 10 kg,,10 kg,22%,U$S,12.00,120.00
K206,Nuez Pelada Mariposa 1 kg,,Unitario,22%,U$S,14.40,14.40
202,Nuez con Cáscara 25 kg,,25 kg,22%,U$S,5.60,140.00
B202,Nuez con Cáscara 5 kg,,5 kg,22%,U$S,6.40,32.00
,,,,,,,
1210,Pasas de Uva Rubias 10 kg,,10 kg,22%,U$S,7.45,74.50
K1210,Pasas de Uva Rubias 1 kg,,Unitario,22%,U$S,8.94,8.94
1010,Pasas de Uva Morena Argentina 10 kg,,10 kg,22%,U$S,3.50,35.00
K110,Pasas de Uva Morena 1 kg,7730905132430,Unitario,22%,U$S,4.16,4.16
1310,Pasas de Uva Chilena 10 kg,,10 kg,22%,U$S,3.30,33.00
1311,Pasas de Uva Chilena Jumbo 10 kg,,10 kg,22%,U$S,3.65,36.50
,,,,,,,
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,7/1/2024
,"100,106 • Azúcar – Infusiones",,,,,,
,,,,,,,
B046,Azúcar Impalpable 5 kg,,5 kg,22%,U$S,1.89,9.46
K177,Cacao en Polvo Natural 1 kg,,Unitario,22%,U$S,8.65,8.65
045,"Cocoa Cosecha Dorada 2,5 kg",7730905130658,Unitario,22%,U$S,4.16,10.40
044,Cocoa Cosecha Dorada 500 g,7730905130641,10 unid.,22%,U$S,2.40,24.00
051,Cocoa Cosecha Dorada 200 g,7730905130634,20 unid.,22%,U$S,1.05,21.00
,,,,,,,
058,Té Ceylan Standard 1001 23 kg,,23 kg,10%,U$S,11.31,260.22
B221,Té Ceylan Standard 1001 5 kg,,5 kg,10%,U$S,15.64,78.20
K058,Té Ceylan Standard 1001 1 kg,,Unitario,10%,U$S,16.32,16.32
059,Té Ceylan Verde 14 kg,,14 kg,10%,U$S,12.08,169.15
B059,Té Ceylan Verde 5 kg,,5 kg,10%,U$S,14.38,71.90
K059,Té Ceylan Verde 1 kg,,1 kg,10%,U$S,15.00,15.00
,,,,,,,
060,Yerba Campero 1 kg,7730905130993,20 unid.,10%,U$S,2.68,53.60
061,Yerba Campero 500 g,7730905131006,20 unid.,10%,U$S,1.38,27.60
,,,,,,,
,"100,107 • Cereales",,,,,,
,,,,,,,
317,"Copos de Maíz Integral 4 unid. de 2,5 kg",7797599000223,10 kg,22%,U$S,4.60,46.00
3180,"Copos de Maíz Natural 4 unid. de 2,5 kg",7797599000209,10 kg,22%,U$S,3.37,33.67
3181,Copos de Maíz Natural 11 unid. de 1 kg,7797599231894,11 unid.,22%,U$S,3.51,38.65
3182,Copos de Maíz Natural Nutri 32 unid. de 150 g,7797599232075,32 unid.,22%,U$S,0.72,23.04
3190,"Copos de Maíz Azucarados 4 unid. de 2,5 kg",7797599000216,10 kg,22%,U$S,3.37,33.67
3191,Copos de Maíz Azucarados 11 unid. de 1 kg,7797599231900,11 unid.,22%,U$S,3.51,38.65
3192,Copos de Maíz Azucarados 32 unid. de 200 g,7797599232068,32 unid.,22%,U$S,0.85,27.20
3200,"Granola Nutrifood 5 unid. de 1,5 kg",7797599000032,"7,5 kg",22%,U$S,6.60,49.50
3202,Granola Nutrifood 20 unid. de 320 g,7797599000520,20 unid.,22%,U$S,2.11,42.20
K7000,Granola Tradicional con Azúcar Rubio 900g,7739753120392,Unitario,22%,U$S,6.15,6.15
K7001,Granola Tradicional con Stevia 900g,7739753120590,Unitario,22%,U$S,6.15,6.15
K7010,Granola Frutos Secos con Azúcar Rubio 900g,7739753120477,Unitario,22%,U$S,7.20,7.20
K7011,Granola Frutos Secos con Stevia Rubio 900g,7739753120675,Unitario,22%,U$S,7.20,7.20
321,"Copitas de Maíz de Chocolate 4 unid. de 2,5 kg",7797599000261,10 kg,22%,U$S,4.35,43.50
3220,"Esferas de Chocolate 4 unid. de 2,5 kg",7797599000278,10 kg,22%,U$S,3.88,38.80
3221,Esferas de Chocolate 10 unid. de 1 kg,7797599231917,10 unid.,22%,U$S,4.10,41.00
3222,Esferas de Chocolate 32 unid. de 200 g,7797599232051,32 unid.,22%,U$S,0.93,29.76
3230,"Aritos Frutados 4 unid. de 2,5 kg",7797599000292,10 kg,22%,U$S,3.70,37.00
3231,Aritos Frutados 10 unid. de 1 kg,7797599231887,10 unid.,22%,U$S,3.90,39.00
3232,Aritos Frutados 32 unid. de 160 g,7797599232044,32 unid.,22%,U$S,0.80,25.60
